"user_hll","post_hll","pud_hll","latitude_4","longitude_4","emoji","latlng_geom"
"\x128b7fad8d336a6e41c479b6fd965b5d43dc57b8386bde9b2689bccf54d2ddf5d9b791f533ecbdc1466618fe19689a364744ef1dfb5a4424fd1b3f3b836266d5795d3f6ef8e1b1c7dce3367e75676ac32f90e5","\x128b7f8532f27d31c490eb8bb704b37f731040a6f148892e37062ab2f168ce1e0fc5d5cba80cd1797dcf8af3a9d3c7e610d7e012117b239b54a00e13f14525306ed0a734fdb66e28d50a2c63a6a16563630c0e68d49fc40a2ac257743f5d025fa2cbc77e5a53833b95daf1","\x128b7fa031a1cf7ec37818a92f2a4f274ce507c8f1ceaa81c8b6b8e5794074ef30b69beb4b34bba8b85502072ea5e1c519491f1b6e765696275efa48332aa13c4143a34b389d5accc598a366112dd915a549b46f977f273bd1ea43707129b6e19d12d0",51.591796875,0.17578125,"🙏🏾","0101000020E6100000CFDC43C2F7FEA63F5FD72FD80DC24940"
"\x128b7f1ac37d76edf834ea","\x128b7f210b88fd51415b15","\x128b7f1643a534507274d3",50.185546875,14.58984375,"🚦","0101000020E61000003AC6784102F62C40BB8EC40D700E4940"
"\x128b7faa9494eb0161266fb1d09df6cadfc3031a805b08654feca841dd15a273fef6fe42be21c87c6aab1c","\x128b7fa65f888e5c2b575eea125a4c14d86e10fee12a3347ad65880d99707ce9aba410201b2492a77ae0166fc634a6a5173f9c","\x128b7f86e67e432327e42ab1be29b3bbf14f61ea21c7152279e27963ea6c6ef903277864387247c2c3eab2734f5464f69da9ef",41.396484375,19.86328125,"❤","0101000020E6100000C4B12E6EA3D1334052B81E85EBA94440"
"\x128b7f1e9130b856d6d06e","\x128b7f6227a503a3b14345","\x128b7f816ea7826c8eff20",52.470703125,4.74609375,"🚑","0101000020E61000005340DAFF004B134026FF93BF7B454A40"
"\x128b7f583e0b55a63ef46a","\x128b7f5223921a6ad67d47","\x128b7f27fcf2f55e475705",48.779296875,2.28515625,"🎊","0101000020E6100000444C89247A7902404BA60A4625664840"
"\x128b7f626574f72bf1bb0e7ede8e45efc468be","\x128b7f85b0514f9706d6067202b77196ee4beb7ef4012af6d9a935","\x128b7f4a8849e5792910d453db0d93b227c095",37.001953125,30.76171875,"😣","0101000020E610000023A64412BDD63E40037CB779E3844240"
"\x128b7f12b0a827c100296b","\x128b7f122e02dec2e993a7493fcc0481040be3","\x128b7f8d9e2af08eff5ac9673f673fd0aee836",51.240234375,7.20703125,"🙌🏼","0101000020E61000008C0B0742B2281C403530F2B226A54940"
"\x128b7f19061f44e5401c03","\x128b7f2b808237012c49b0","\x128b7fdcbbc9bacb46d239",52.646484375,1.58203125,"🍾","0101000020E610000078EA9106B795FB3F606EF7729F534A40"
"\x128b7f19061f44e5401c03","\x128b7f2b808237012c49b0","\x128b7fdcbbc9bacb46d239",52.646484375,1.58203125,"🥂","0101000020E610000078EA9106B795FB3F606EF7729F534A40"
"\x128b7fab81396d93eaa593","\x128b7f236790f531979d7f","\x128b7f7274ba2f635f0b0a",38.408203125,27.59765625,"🤦‍♂️","0101000020E6100000B83B6BB75D7C3B40516A2FA2ED374340"
